Algorithm,Dataset,MAE,MSE,Score,MAE-train,MSE-train,Score-train,Seasonal-value
ArimaX,dataset,2.326839320414866,8.501610548231675,5.41422493432327,1.4523780144650438,3.4894091535940555,2.4708935840295494,D
ArimaX,dataset_outliers,2.326839320414866,8.501610548231675,5.41422493432327,1.4523780144650438,3.4894091535940555,2.4708935840295494,D
ArimaX,dataset_outliers_l,2.328581854847744,8.543854284973941,5.436218069910843,1.4470265703532317,3.4910232115062763,2.469024890929754,D
ArimaX,dataset_outliers_generated,2.301532608882313,8.53026376533816,5.415898187110237,1.789849935517248,5.366224300360216,3.578037117938732,D
ArimaX,dataset_outliers_diff1,1.1911079708435794,2.6353025762173847,1.913205273530482,1.2309273930109017,2.6221350038865006,1.9265311984487012,D
ArimaX,dataset_outliers_diff2,1.627881094290129,4.6304089186135755,3.1291450064518522,1.3399547032252201,3.0470529828686073,2.193503843046914,D
ArimaX,dataset_outliers_sqrt,0.2610548801395359,0.1067534712231088,0.18390417568132236,0.1945521491256579,0.06445864312369827,0.1295053961246781,D
ArimaX,dataset_outliers_log,0.12125092567204865,0.02305282395160703,0.07215187481182783,0.09263317422103763,0.015552334311939628,0.05409275426648863,D
ArimaX,dataset,2.4222714067840574,9.109973980505353,5.766122693644705,1.946475053664195,5.876264941705255,3.911369997684725,7D
ArimaX,dataset_outliers,2.4222714067840574,9.109973980505353,5.766122693644705,1.946475053664195,5.876264941705255,3.911369997684725,7D
ArimaX,dataset_outliers_l,2.444770799093591,9.195383148137177,5.820076973615384,1.943316398683259,5.935042483701479,3.939179441192369,7D
ArimaX,dataset_outliers_generated,2.276922639636578,8.300243663103375,5.288583151369976,2.0247375834720427,6.699402445564755,4.362070014518399,7D
ArimaX,dataset_outliers_diff1,1.087667294209439,2.0920464559395593,1.5898568750744992,1.0593915991079788,1.9902324410626127,1.5248120200852957,7D
ArimaX,dataset_outliers_diff2,1.6261945270699165,4.730983471748181,3.178588999409049,1.501416750344865,3.934615655050822,2.7180162026978434,7D
ArimaX,dataset_outliers_sqrt,0.26716027071861165,0.11139474663119693,0.18927750867490428,0.22455395850222648,0.08147957930144024,0.15301676890183336,7D
ArimaX,dataset_outliers_log,0.126314102511716,0.024635287440424605,0.07547469497607029,0.10533936763124059,0.019616202299627145,0.062477784965433866,7D
ArimaX,dataset,2.8325930118464355,12.09765818340925,7.465125597627843,2.18671177848774,7.510984735912902,4.848848257200321,15D
ArimaX,dataset_outliers,2.8325930118464355,12.09765818340925,7.465125597627843,2.18671177848774,7.510984735912902,4.848848257200321,15D
ArimaX,dataset_outliers_l,2.8268257740920784,12.121157975865257,7.473991874978668,2.1826160141607027,7.501513164286649,4.842064589223676,15D
ArimaX,dataset_outliers_generated,2.324025708544777,8.5993366403344,5.461681174439589,2.2678529114575827,8.197436538827397,5.23264472514249,15D
ArimaX,dataset_outliers_diff1,1.374135138832912,2.9324015017771075,2.15326832030501,0.9703767332518565,1.3890541981248434,1.17971546568835,15D
ArimaX,dataset_outliers_diff2,1.4952186393602982,3.8772495501505815,2.6862340947554397,1.2274116629804332,2.245190827562221,1.7363012452713271,15D
ArimaX,dataset_outliers_sqrt,0.3018857119882707,0.1460410865546841,0.2239633992714774,0.2514485566953156,0.10423712726218759,0.17784284197875158,15D
ArimaX,dataset_outliers_log,0.14411295415755948,0.03288215419304607,0.08849755417530278,0.11818991266434827,0.024703781766733397,0.07144684721554083,15D
ArimaX,dataset,2.3874142027389276,9.191822405533731,5.789618304136329,1.5004021531495948,3.4716945594931468,2.486048356321371,ME
ArimaX,dataset_outliers,2.3874142027389276,9.191822405533731,5.789618304136329,1.5004021531495948,3.4716945594931468,2.486048356321371,ME
ArimaX,dataset_outliers_l,2.545968257379622,9.90964927337811,6.227808765378866,1.5518402791318515,3.664881864456109,2.6083610717939805,ME
ArimaX,dataset_outliers_generated,2.394387673417495,10.248822640536295,6.321605156976895,1.9670019974192197,6.214459684492096,4.090730840955658,ME
ArimaX,dataset_outliers_diff1,1.136556368728879,2.458503886821951,1.797530127775415,0.8531544407397736,1.198429245253709,1.0257918429967414,ME
ArimaX,dataset_outliers_diff2,1.499229803166333,3.997787619081546,2.7485087111239395,1.194431019772641,2.44339227557613,1.8189116476743856,ME
ArimaX,dataset_outliers_sqrt,0.26596352307292437,0.11558676373022886,0.1907751434015766,0.16223541206381284,0.040872223249796336,0.10155381765680459,ME
ArimaX,dataset_outliers_log,0.11968791579375652,0.022895180695980757,0.07129154824486864,0.0717098699618725,0.008932907738348045,0.04032138885011027,ME
Sarima,dataset,5.461838330356688,40.37050797156326,22.916173150959978,3.1542815352265388,13.770012230756054,8.462146882991297,D
Sarima,dataset_outliers,5.461838330356688,40.37050797156326,22.916173150959978,3.1542815352265388,13.770012230756054,8.462146882991297,D
Sarima,dataset_outliers_l,5.4753964976498395,40.455024223361505,22.965210360505672,3.15607293988668,13.778684844406001,8.46737889214634,D
Sarima,dataset_outliers_generated,5.63943955167518,42.951842936622015,24.295641244148598,3.6010922450817096,18.784938939380904,11.193015592231307,D
Sarima,dataset_outliers_diff1,1.1710676655112722,2.554353515880015,1.8627105906956436,1.2807658368347985,2.808215902156264,2.0444908694955313,D
Sarima,dataset_outliers_diff2,1.5977229599465765,4.475251283385626,3.0364871216661014,1.3285756822473955,3.0015437629989803,2.165059722623188,D
Sarima,dataset_outliers_sqrt,0.5729434472565798,0.4644895851299515,0.5187165161932656,0.3431246329638009,0.17210412333785988,0.2576143781508304,D
Sarima,dataset_outliers_log,0.2462606368453445,0.08960556304370616,0.16793309994452532,0.15181494464137904,0.03611680623954559,0.09396587544046231,D
Sarima,dataset,5.461471353646392,38.36969460319834,21.915582978422364,3.0442112987090635,15.592991716193264,9.318601507451163,7D
Sarima,dataset_outliers,5.461471353646392,38.36969460319834,21.915582978422364,3.0442112987090635,15.592991716193264,9.318601507451163,7D
Sarima,dataset_outliers_l,4.8497280952703505,31.452402926549055,18.151065510909703,2.9581371976784627,14.474336764277275,8.716236980977868,7D
Sarima,dataset_outliers_generated,5.532975018124073,40.726013406017174,23.129494212070625,3.217521672462217,16.847293384519016,10.032407528490616,7D
Sarima,dataset_outliers_diff1,1.0818429606151314,2.1115219941250647,1.596682477370098,1.1388767667929451,2.199798665703593,1.6693377162482692,7D
Sarima,dataset_outliers_diff2,1.628289876311468,4.652379002126462,3.1403344392189654,1.5837561858588416,4.2933048409237955,2.9385305133913184,7D
Sarima,dataset_outliers_sqrt,0.578149031112656,0.44332103126428674,0.5107350311884714,0.3495392950968465,0.21065652337727853,0.2800979092370625,7D
Sarima,dataset_outliers_log,0.2417368110604379,0.08188036357861031,0.1618085873195241,0.16959859978026173,0.051817219005999435,0.11070790939313058,7D
Sarima,dataset,4.5302637229822285,28.761638484528692,16.64595110375546,3.3506743759545494,17.04811007467588,10.199392225315215,15D
Sarima,dataset_outliers,4.5302637229822285,28.761638484528692,16.64595110375546,3.3506743759545494,17.04811007467588,10.199392225315215,15D
Sarima,dataset_outliers_l,4.433331655344984,27.49746444051901,15.965398047931998,3.3999882185388524,17.88471001817253,10.64234911835569,15D
Sarima,dataset_outliers_generated,5.852637024030154,45.21569342484132,25.534165224435736,3.8773785980644773,21.776320649828797,12.826849623946638,15D
Sarima,dataset_outliers_diff1,1.3373303227233397,2.9945258151087772,2.1659280689160587,0.9887832069745004,1.4992067070119535,1.243994956993227,15D
Sarima,dataset_outliers_diff2,1.5176399854291196,3.9714157914877157,2.7445278884584177,1.2507718119794067,2.3907016196254274,1.820736715802417,15D
Sarima,dataset_outliers_sqrt,0.5757220603818524,0.4662240382197945,0.5209730493008234,0.4156493133670812,0.2499890671037397,0.33281919023541046,15D
Sarima,dataset_outliers_log,0.24332220872825822,0.08522699499095795,0.16427460185960807,0.18201955696996935,0.050417815864311065,0.11621868641714021,15D
Sarima,dataset,3.97588385103304,21.056404284882255,12.516144067957647,2.7599475133846987,11.054217973442698,6.9070827434136985,ME
Sarima,dataset_outliers,3.97588385103304,21.056404284882255,12.516144067957647,2.7599475133846987,11.054217973442698,6.9070827434136985,ME
Sarima,dataset_outliers_l,2.8980710509499295,12.248735899526864,7.573403475238397,2.4790188768165233,8.986341666017626,5.732680271417075,ME
Sarima,dataset_outliers_generated,5.404189978456679,46.058636356297654,25.731413167377166,3.501018068541605,18.919569857373055,11.21029396295733,ME
Sarima,dataset_outliers_diff1,1.2315905925353985,2.674431889392367,1.9530112409638827,0.8455741237372174,1.2406636276868632,1.0431188757120404,ME
Sarima,dataset_outliers_diff2,1.6402731446842327,4.145196541372151,2.892734843028192,1.415209122690715,2.897181906134433,2.156195514412574,ME
Sarima,dataset_outliers_sqrt,0.5184302981652111,0.37569297161732074,0.44706163489126594,0.4125536099974094,0.23386946017082194,0.3232115350841157,ME
Sarima,dataset_outliers_log,0.2383479820136187,0.08327359170169224,0.16081078685765549,0.2119576298570772,0.06288744373114591,0.13742253679411154,ME
